No,Year,Month,Day,Minutes,Seconds,Largest Magnitude
340,2023,2,23,37,20.8,3.7
341,2023,2,23,53,46.8,5.0
342,2023,2,23,33,45.8,3.7
343,2023,2,23,19,46.5,3.5
344,2023,2,23,46,39.1,3.8
345,2023,2,23,1,6.3,3.6
346,2023,2,23,41,41.9,4.5
347,2023,2,23,58,24.3,3.9
348,2023,2,23,0,43.7,3.5
349,2023,2,23,23,2.8,4.1
350,2023,2,23,45,0.8,3.9
351,2023,2,23,42,56.3,4.2
352,2023,2,22,43,45.0,3.7
353,2023,2,22,36,6.7,4.1
354,2023,2,22,43,46.0,3.5
355,2023,2,22,3,54.6,3.6
356,2023,2,22,58,25.4,3.6
357,2023,2,22,56,52.5,4.4
358,2023,2,22,9,41.5,4.5
359,2023,2,22,50,50.7,4.1
360,2023,2,22,40,1.8,4.1
361,2023,2,22,4,44.6,3.9
362,2023,2,22,37,56.4,3.7
363,2023,2,22,47,22.1,3.5
364,2023,2,21,25,57.6,3.8
365,2023,2,21,6,47.8,4.1
366,2023,2,21,7,6.3,3.5
367,2023,2,21,35,19.8,3.7
368,2023,2,21,42,26.0,3.7
369,2023,2,21,55,52.9,3.9
370,2023,2,21,59,57.1,3.5
371,2023,2,21,9,37.9,3.8
372,2023,2,21,56,45.4,4.3
373,2023,2,21,23,49.7,3.7
374,2023,2,21,46,23.4,3.9
375,2023,2,21,34,16.4,3.8
376,2023,2,21,28,51.7,3.6
377,2023,2,21,38,16.6,3.6
378,2023,2,21,12,57.3,4.0
379,2023,2,21,27,41.6,3.5
380,2023,2,21,1,0.6,3.8
381,2023,2,20,21,12.3,4.4
382,2023,2,20,12,31.4,3.6
383,2023,2,20,56,53.9,3.9
384,2023,2,20,54,28.8,3.6
385,2023,2,20,34,49.9,3.8
386,2023,2,20,40,1.7,3.6
387,2023,2,20,9,19.1,4.2
388,2023,2,20,0,13.8,4.4
389,2023,2,20,47,1.0,3.5
390,2023,2,20,41,18.6,3.6
391,2023,2,20,36,30.3,3.9
392,2023,2,20,30,50.8,4.0
393,2023,2,20,6,24.2,4.0
394,2023,2,20,42,55.5,3.6
395,2023,2,20,41,26.8,3.5
396,2023,2,20,38,44.6,4.3
397,2023,2,20,33,58.4,3.7
398,2023,2,20,28,52.7,3.5
399,2023,2,20,26,27.5,3.8
400,2023,2,20,24,9.0,4.0
401,2023,2,20,13,18.3,4.0
402,2023,2,20,7,34.8,4.0
403,2023,2,20,4,27.9,6.4
404,2023,2,20,50,45.2,3.6
405,2023,2,20,24,4.0,3.6
406,2023,2,20,8,38.9,4.0
407,2023,2,20,52,56.3,3.8
408,2023,2,20,45,36.6,4.5
409,2023,2,20,29,33.6,4.3
410,2023,2,20,48,59.2,4.7
411,2023,2,20,7,36.8,4.5
412,2023,2,20,58,46.2,3.5
413,2023,2,20,47,57.7,3.7
414,2023,2,20,39,1.9,4.5
415,2023,2,20,37,28.5,4.9
416,2023,2,19,57,26.3,4.5
417,2023,2,19,30,30.1,4.2
418,2023,2,19,15,42.6,3.6
419,2023,2,19,59,36.3,3.9
